Número de Variáveis,Acurácia,AUC
1,0.6879228555875262,0.5579068597936201
2,0.6882339217668559,0.5621102178715016
3,0.6880783886771911,0.5631060487960815
4,0.6878450890426938,0.5859195237003592
5,0.6890115872151801,0.6011210091056656
6,0.6890893537600125,0.6043967071972003
7,0.6894781864841745,0.6056157697746849
8,0.6904891515669959,0.6113164236353938
9,0.6909557508359904,0.611886017177161
10,0.6920444824636441,0.6138204943136705
11,0.6906446846566607,0.6140265423829709
12,0.6901780853876662,0.6145310777504198
13,0.6909557508359904,0.6190639240014606
14,0.6924333151878062,0.6202082661600758
15,0.6909557508359904,0.6191958573027893
16,0.692200015553309,0.6207743103058853
17,0.692588848277471,0.6227799584653065
18,0.6917334162843145,0.6228921306454903
19,0.6923555486429738,0.6240438110393989
20,0.6918111828291469,0.6266560819547639
21,0.6930554475464655,0.6266121229675271
22,0.6920444824636441,0.6275376420483756
23,0.6924333151878062,0.6267678034180006
24,0.6923555486429738,0.6283968916531109
25,0.6920444824636441,0.626426512094792
26,0.6923555486429738,0.6273789896830327
27,0.6913445835601524,0.628465273864913
28,0.6913445835601524,0.6297039848843058
29,0.6935998133602924,0.6299037088314436
30,0.6922777820981414,0.6290672767721499
31,0.6936775799051248,0.6296477720300725
32,0.692200015553309,0.6306757306220305
33,0.692200015553309,0.629941301441804
34,0.6915001166498173,0.6307485777485888
35,0.6920444824636441,0.6302661275115427
36,0.6937553464499572,0.6299520341391044
37,0.6933665137257952,0.6306589414157548
38,0.6915001166498173,0.6305172895302567
39,0.6931332140912979,0.6320274589158826
40,0.6925110817326386,0.6311262362954583
41,0.6925110817326386,0.6311806744517127
42,0.6911112839256551,0.63156516417731
43,0.6931332140912979,0.6323373268169428
44,0.6925110817326386,0.6324163290468086
45,0.6926666148223034,0.6320307829533668
46,0.6922777820981414,0.6320292195289569
47,0.6921222490084765,0.632191604394017
48,0.6929776810016332,0.6338078190263285
49,0.6920444824636441,0.6332058865436145
50,0.69352204681546,0.6319558935156423
51,0.6920444824636441,0.6335980807120246
52,0.6919667159188118,0.6333967792555721
53,0.6926666148223034,0.6339094275280672
54,0.6928999144568007,0.6333060302152753
55,0.6911890504704876,0.6355774605243788
56,0.692588848277471,0.6342238448533111
57,0.6931332140912979,0.6328527639005472
58,0.6911890504704876,0.6331256730119537
59,0.6936775799051248,0.6333356366847311
60,0.6920444824636441,0.6331116726167877
61,0.6930554475464655,0.6326579837549218
62,0.6932887471809628,0.6342890297917705
63,0.692200015553309,0.6336459130480246
64,0.6928999144568007,0.6329453298935367
65,0.6929776810016332,0.6333229461856924
66,0.6932109806361303,0.6340040921718411
67,0.6937553464499572,0.6344341465637987
68,0.6931332140912979,0.6346811817054667
69,0.6915778831946496,0.6344960919742016
70,0.692588848277471,0.6335888973542296
71,0.6927443813671359,0.6342524231247315
72,0.6940664126292869,0.6330460933009997
73,0.693910879539622,0.6361118418046616
74,0.6938331129947897,0.634218408080138
75,0.6927443813671359,0.6345910946556859
76,0.6931332140912979,0.633400877962809
77,0.6942219457189517,0.6347530992283219
78,0.6934442802706275,0.6330301491889997
79,0.6936775799051248,0.6346388143124491
80,0.6936775799051248,0.6338155093842367
81,0.6932109806361303,0.6370109516893969
82,0.6933665137257952,0.6338069598471483
83,0.6931332140912979,0.6351404763593609
84,0.6929776810016332,0.6336505047269221
85,0.6926666148223034,0.635885455133128
86,0.6936775799051248,0.6363128052234037
87,0.6932109806361303,0.6359931764834601
88,0.6938331129947897,0.6346735336022724
89,0.6936775799051248,0.6339951060027103
90,0.6926666148223034,0.6342164221085902
91,0.6923555486429738,0.6344010188681946
92,0.693910879539622,0.6349528513452689
93,0.6932887471809628,0.6341887171012546
94,0.6923555486429738,0.6338844268224134
95,0.6934442802706275,0.6355520231866827
96,0.6938331129947897,0.6361336734067818
97,0.6916556497394821,0.6352097600050571
98,0.6931332140912979,0.635150800594428
99,0.6928999144568007,0.6353417778158132
100,0.6938331129947897,0.635391666547884
101,0.6929776810016332,0.6359332029597005
102,0.6932109806361303,0.6337158445993321
103,0.6930554475464655,0.6337231687497209
104,0.6928221479119683,0.6347218448250286
105,0.6922777820981414,0.6342543668415654
106,0.6935998133602924,0.6357267182583577
107,0.6919667159188118,0.6353954835570289
108,0.692200015553309,0.6334031315475439
109,0.6918111828291469,0.636026388688492
110,0.69352204681546,0.6343896805199967
111,0.692200015553309,0.6370732210526054
112,0.692200015553309,0.6350211772174528
113,0.6928221479119683,0.6357955089323929
114,0.6929776810016332,0.6351373776803503
115,0.6916556497394821,0.636041051074174
116,0.6928999144568007,0.6357608178123788
117,0.6932109806361303,0.636089263702598
118,0.6938331129947897,0.6361595192067112
119,0.6924333151878062,0.6364888524459198
120,0.6927443813671359,0.6355466568380325
121,0.6934442802706275,0.6374897821059626
122,0.6927443813671359,0.6338883142560813
123,0.6929776810016332,0.6353629896821313
124,0.6932887471809628,0.6348650601349368
125,0.6938331129947897,0.6342950863007457
126,0.6938331129947897,0.6347135910709367
127,0.6934442802706275,0.6342036330152192
128,0.6920444824636441,0.6342449581252969
129,0.6921222490084765,0.6360103600670645
130,0.6919667159188118,0.635788579159333
131,0.6919667159188118,0.6356452793399971
132,0.6918111828291469,0.6358952018871068
